Year,DepTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Delayed (Y or N),CRSDepTime_sin,CRSDepTime_cos,CRSArrTime_sin,CRSArrTime_cos,ArrTime_sin,ArrTime_cos,Month_sin,Month_cos,DayofMonth_sin,DayofMonth_cos,DayOfWeek_sin,DayOfWeek_cos
,,US,63.0,70,42.0,-14,,ROC,PHL,257,8.0,13.0,,0.742072597463454,-0.6703195208957013,0.9750665232895567,-0.2219127647523155,-0.8660254037844229,-0.5000000000000272,0.49999999999999994,0.8660254037844387,-0.20129852008866028,0.9795299412524945,-0.7818314824680299,0.6234898018587334
,,TW,76.0,76,53.0,13,,STL,TYS,405,4.0,19.0,,-0.9038579871078937,-0.42783260644937604,0.8081177822650282,-0.5890209249144316,-0.707106781186565,0.70710678118653,0.8660254037844386,0.5000000000000001,0.9377521321470804,0.3473052528448203,-0.7818314824680299,0.6234898018587334
,,UA,198.0,205,182.0,-10,,DEN,PHL,1557,3.0,13.0,,-0.7816369888740922,-0.62373361110641,0.9307217435220212,0.3657280904378674,-1.0,-1.7148150091245887e-14,1.0,6.123233995736766e-17,-0.29936312297335776,-0.9541392564000489,0.43388373911755823,-0.900968867902419
,,UA,84.0,100,74.0,-20,,ORD,CLT,599,2.0,8.0,,-0.07633688312286958,-0.9970820830177851,0.913870756971603,0.4060052210897655,0.8660254037844392,-0.49999999999999917,0.8660254037844387,-0.4999999999999998,-0.9884683243281114,0.15142777750457667,-0.7818314824680299,0.6234898018587334
,,TW,,127,,-6,,ORF,STL,784,,,,0.9915749725340325,0.12953406441601645,0.14359164807593489,0.9896370236621288,-1.0,-2.400864808901742e-14,0.5000000000000003,-0.8660254037844385,0.20129852008866006,0.9795299412524945,-2.4492935982947064e-16,1.0
,,US,,63,,-4,,PIT,LEX,289,,,,0.6279904307323667,-0.7782210604375703,0.1176186987464781,0.9930588309386233,-0.8660254037844485,0.499999999999983,1.2246467991473532e-16,-1.0,0.9884683243281114,0.1514277775045767,0.9749279121818236,-0.22252093395631434
,,CO,,139,,16,,IAH,ORD,925,,,,0.9111920305919546,-0.41198189691503484,0.6531340970650239,0.7572422672111323,-1.0,-3.3808298404742594e-14,-0.4999999999999997,-0.8660254037844388,0.29936312297335804,-0.9541392564000488,-0.433883739117558,-0.9009688679024191
,,DL,,112,,-4,,CVG,LGA,585,,,,-0.6580796363164438,-0.7529483330651692,0.9769672194563961,-0.2133894376665303,0.499999999999986,0.8660254037844467,-0.8660254037844385,-0.5000000000000004,-0.9680771188662043,-0.2506525322587205,0.7818314824680298,0.6234898018587336
,,OO,64.0,65,52.0,-3,,SUN,SLC,223,4.0,8.0,,-0.16300766076217874,-0.9866248033233517,0.99628402145206,0.08612867466361837,0.5000000000000063,0.8660254037844349,-1.0,-1.8369701987210297e-16,0.6513724827222223,-0.758758122692791,0.43388373911755823,-0.900968867902419
,,MQ,130.0,130,109.0,5,,ORD,PNS,794,3.0,18.0,,-0.16300766076217874,-0.9866248033233517,-0.32991106097268386,0.9440120189107118,0.7071067811865532,0.7071067811865418,-0.866025403784439,0.49999999999999933,0.29936312297335804,-0.9541392564000488,-2.4492935982947064e-16,1.0
,,NW,178.0,163,147.0,9,,AUS,MSP,1042,11.0,20.0,,-0.996650591562397,0.08177773742482818,-0.36471190728566977,-0.9311204136329785,-0.5000000000000081,0.866025403784434,-0.5000000000000004,0.8660254037844384,0.9377521321470804,0.3473052528448203,0.9749279121818236,-0.22252093395631434
,,DL,61.0,74,40.0,-14,,LGA,DCA,214,4.0,17.0,,0.9750665232895567,-0.2219127647523155,0.7242588437017139,-0.6895281918238415,-1.0,-2.20467372878353e-14,-2.4492935982947064e-16,1.0,0.29936312297335804,-0.9541392564000488,-0.9749279121818236,-0.2225209339563146
